address_id;address;postcode;state;country;property_valuation
1;060 Morning Avenue;2016;New South Wales;Australia;10
2;6 Meadow Vale Court;2153;New South Wales;Australia;10
3;0 Holy Cross Court;4211;QLD;Australia;9
4;17979 Del Mar Point;2448;New South Wales;Australia;4
5;9 Oakridge Court;3216;VIC;Australia;9
6;4 Delaware Trail;2210;New South Wales;Australia;9
7;49 Londonderry Lane;2650;New South Wales;Australia;4
8;97736 7th Trail;2023;New South Wales;Australia;12
9;93405 Ludington Park;3044;VIC;Australia;8
10;44339 Golden Leaf Alley;4557;QLD;Australia;4
11;2 Sutherland Street;3799;VIC;Australia;6
12;9 Mcbride Trail;2760;New South Wales;Australia;8
13;9861 New Castle Avenue;2428;New South Wales;Australia;9
14;52 Moland Street;3331;VIC;Australia;4
15;82391 Kensington Lane;3058;VIC;Australia;9
16;092 2nd Alley;2135;New South Wales;Australia;12
17;59 Spaight Circle;2233;New South Wales;Australia;9
18;032 Bartelt Crossing;2444;New South Wales;Australia;8
19;18 Jenna Center;2650;New South Wales;Australia;7
20;3 Cordelia Plaza;2153;New South Wales;Australia;10
21;28 5th Center;4413;QLD;Australia;3
22;52 Carey Alley;4740;QLD;Australia;5
23;96 Texas Plaza;3218;VIC;Australia;7
24;48 Eagan Avenue;4868;QLD;Australia;4
25;9 Buell Park;4116;QLD;Australia;7
26;02663 Buell Parkway;2519;New South Wales;Australia;11
27;2294 Pleasure Place;2135;New South Wales;Australia;12
28;2951 Petterle Place;2756;New South Wales;Australia;9
29;63 Lukken Drive;2170;New South Wales;Australia;9
30;833 Luster Way;4005;QLD;Australia;8
31;34 Russell Plaza;4127;QLD;Australia;6
32;78 Del Sol Hill;2535;New South Wales;Australia;8
33;54 Sage Plaza;4726;QLD;Australia;1
34;90 Lawn Parkway;4805;QLD;Australia;4
35;38726 Ilene Crossing;2212;New South Wales;Australia;10
36;3496 Brown Drive;2207;New South Wales;Australia;8
37;7188 Cody Way;3350;VIC;Australia;9
38;1 Claremont Park;3931;VIC;Australia;10
39;60 Eagan Circle;4018;QLD;Australia;8
40;89314 Eagle Crest Center;4670;QLD;Australia;2
41;2028 Lakewood Place;2480;New South Wales;Australia;3
42;70875 Hudson Point;3212;VIC;Australia;6
43;543 Killdeer Park;2322;New South Wales;Australia;4
44;22125 Ramsey Drive;3198;VIC;Australia;9
45;3107 Calypso Terrace;2210;New South Wales;Australia;9
46;957 Veith Junction;2047;New South Wales;Australia;10
47;4853 Gulseth Avenue;4503;QLD;Australia;5
48;9 Michigan Terrace;2145;New South Wales;Australia;8
49;62 Steensland Road;4350;QLD;Australia;3
50;6 Homewood Avenue;2142;New South Wales;Australia;8
51;15 Almo Lane;2029;New South Wales;Australia;10
52;690 Glacier Hill Circle;2127;New South Wales;Australia;10
53;89787 Village Green Terrace;4280;QLD;Australia;6
54;18 Elgar Park;2166;New South Wales;Australia;9
55;413 Mayer Street;2046;New South Wales;Australia;9
56;39 3rd Drive;2026;New South Wales;Australia;10
57;44516 Katie Parkway;2765;New South Wales;Australia;7
58;41 Schurz Center;2749;New South Wales;Australia;8
59;68150 Boyd Road;2745;New South Wales;Australia;9
60;11474 Westend Hill;3752;VIC;Australia;8
61;308 Jana Crossing;2153;New South Wales;Australia;10
62;163 Straubel Trail;2217;New South Wales;Australia;10
63;68294 Clarendon Crossing;2230;New South Wales;Australia;10
64;486 Mariners Cove Plaza;3046;VIC;Australia;7
65;0322 Dryden Court;3183;VIC;Australia;7
66;9 Bonner Road;2070;New South Wales;Australia;12
67;07041 Briar Crest Lane;2213;New South Wales;Australia;10
68;29466 Hanson Pass;4208;QLD;Australia;6
69;0212 Forest Run Trail;2774;New South Wales;Australia;8
70;33055 Menomonie Parkway;4133;QLD;Australia;8
71;4763 Merchant Avenue;2756;New South Wales;Australia;8
72;439 Ridgeway Court;4213;QLD;Australia;9
73;2 Clyde Gallagher Lane;4170;QLD;Australia;5
74;97455 Loeprich Lane;2153;New South Wales;Australia;9
75;9527 Ridgeway Street;2073;New South Wales;Australia;10
76;7 Jackson Point;3561;VIC;Australia;1
77;74 Anniversary Junction;2330;New South Wales;Australia;6
78;2083 Spaight Court;3977;VIC;Australia;8
79;2796 Caliangt Circle;2204;New South Wales;Australia;12
80;96061 Ludington Place;2086;New South Wales;Australia;11
